title,url,categories,summary,source,published_at,scraped_at
"Tak perlu biaya mahal, Ini cara bikin ""black garlic"" sendiri di rumah",https://www.antaranews.com/berita/5206049/tak-perlu-biaya-mahal-ini-cara-bikin-black-garlic-sendiri-di-rumah,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2025/10/29/Peeled_Black_Garlic.jpg"" align=""left"" border=""0"" />Bawang putih yang selama ini dikenal sebagai bumbu dapur ternyata dapat diolah menjadi superfood bernutrisi ...",Antara,2025-10-29T11:31:45,2025-10-29T14:40:08.711940
"Kaya antioksidan, ini 8 manfaat black garlic bagi kesehatan tubuh",https://www.antaranews.com/berita/5205681/kaya-antioksidan-ini-8-manfaat-black-garlic-bagi-kesehatan-tubuh,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2014/10/20141005bawang-hitm.jpg"" align=""left"" border=""0"" />Walaupun terlihat berbeda, black garlic atau bawang hitam bukan merupakan jenis bawang baru, melainkan hasil fermentasi ...",Antara,2025-10-29T07:11:25,2025-10-29T14:40:09.844466
Sejarah dan makna di balik Hari Halloween 31 Oktober,https://www.antaranews.com/berita/5204329/sejarah-dan-makna-di-balik-hari-halloween-31-oktober,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2023/10/09/Tempat-Makan-Bertemakan-Haloween-Di-Bandung-091023-rai-6.jpg"" align=""left"" border=""0"" />Setiap akhir Oktober, suasana di berbagai negara mulai dipenuhi dengan dekorasi bertema horor, labu berukir ...",Antara,2025-10-28T17:21:18,2025-10-29T14:40:10.833173
"Wednesday hingga Wicked, ini ide kostum untuk Halloween 2025",https://www.antaranews.com/berita/5204325/wednesday-hingga-wicked-ini-ide-kostum-untuk-halloween-2025,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2023/10/09/34.jpg"" align=""left"" border=""0"" />Menjelang akhir Oktober, suasana penuh misteri dan keseruan mulai terasa di berbagai belahan dunia. Tahun ini, ...",Antara,2025-10-28T17:20:20,2025-10-29T14:40:11.410075
Tujuh aktivitas seru untuk ramaikan Halloween 2025,https://www.antaranews.com/berita/5204317/tujuh-aktivitas-seru-untuk-ramaikan-halloween-2025,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2023/10/27/Screenshot_20231027_223119_Photos.jpg"" align=""left"" border=""0"" />Akhir Oktober selalu identik dengan suasana mistis dan penuh keseruan, karena pada tanggal 31 Oktober, masyarakat di ...",Antara,2025-10-28T17:19:16,2025-10-29T14:40:12.510606
"Cara penanganan tepat bagi penderita ""honeymoon cystitis""",https://www.antaranews.com/berita/5204285/cara-penanganan-tepat-bagi-penderita-honeymoon-cystitis,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2018/05/fagina.jpg"" align=""left"" border=""0"" />Nyeri atau perih saat buang air kecil setelah berhubungan intim merupakan keluhan yang cukup sering dialami, terutama ...",Antara,2025-10-28T17:13:51,2025-10-29T14:40:13.545336
Tradisi unik negara-negara di dunia dalam merayakan Halloween,https://www.antaranews.com/berita/5204281/tradisi-unik-negara-negara-di-dunia-dalam-merayakan-halloween,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2023/10/27/CjkinzN007009_20231027_CBPFN0A001.jpg"" align=""left"" border=""0"" />Setiap akhir Oktober, dunia seakan dipenuhi oleh suasana mistis yang penuh warna. Menariknya, pada tahun 2025, ...",Antara,2025-10-28T17:11:52,2025-10-29T14:40:14.719477
Makna di balik simbol Halloween: Dari labu hingga penyihir,https://www.antaranews.com/berita/5204245/makna-di-balik-simbol-halloween-dari-labu-hingga-penyihir,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2021/10/22/103.jpg"" align=""left"" border=""0"" />Menjelang Halloween 2025 yang tahun ini jatuh pada hari Jumat, 31 Oktober, berbagai dekorasi khas seperti labu berwajah ...",Antara,2025-10-28T17:08:46,2025-10-29T14:40:15.706877
"Kapan Halloween 2025? Simak hari, tanggal, dan asal usulnya",https://www.antaranews.com/berita/5204233/kapan-halloween-2025-simak-hari-tanggal-dan-asal-usulnya,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2025/10/27/IMG_8957.jpg"" align=""left"" border=""0"" />Setiap tahun, perayaan Halloween selalu ditunggu-tunggu oleh banyak orang di berbagai belahan dunia. Mulai dari ...",Antara,2025-10-28T17:07:35,2025-10-29T14:40:16.483006
"Kenali fakta tentang penyakit ""honeymoon cystitis"" setelah menikah",https://www.antaranews.com/berita/5204213/kenali-fakta-tentang-penyakit-honeymoon-cystitis-setelah-menikah,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2019/03/28/PicsArt_03-28-05.37.12.jpg"" align=""left"" border=""0"" />Setelah momen bahagia pernikahan, pasangan baru tentunya ingin menikmati masa bulan madu dengan bahagia dan penuh ...",Antara,2025-10-28T17:04:25,2025-10-29T14:40:17.453935
"Tips pencegahan ""honeymoon cystitis"" bagi pasangan yang baru menikah",https://www.antaranews.com/berita/5204205/tips-pencegahan-honeymoon-cystitis-bagi-pasangan-yang-baru-menikah,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2025/08/22/IMG-20250822-WA0002_4.jpg"" align=""left"" border=""0"" />Setelah melewati hari pernikahan, sebagian besar pasangan baru tentu ingin menikmati momen romantis bersama tanpa ...",Antara,2025-10-28T17:03:00,2025-10-29T14:40:18.353700
"Bukan sekadar pesta kostum, ini sisi positif Halloween yang jarang diketahui",https://www.antaranews.com/berita/5204193/bukan-sekadar-pesta-kostum-ini-sisi-positif-halloween-yang-jarang-diketahui,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2024/10/31/parade-kostum-halloween-anak-anak-311024-nhw-9.jpg"" align=""left"" border=""0"" />Perayaan Halloween 2025 akan terasa semakin istimewa karena jatuh pada hari Jumat, 31 Oktober. Momen ini menjadi ...",Antara,2025-10-28T17:00:20,2025-10-29T14:40:19.476436
Kapan mimisan dikhawatirkan? Ini waktu tepat ke dokter dan risikonya,https://www.antaranews.com/berita/5203113/kapan-mimisan-dikhawatirkan-ini-waktu-tepat-ke-dokter-dan-risikonya,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2024/11/28/mimisan-1.jpg"" align=""left"" border=""0"" />Mimisan atau keluarnya darah dari hidung sering kali dianggap sepele dan bisa berhenti dengan sendirinya. Namun, dalam ...",Antara,2025-10-28T07:42:16,2025-10-29T14:40:20.437938
Mitos dan fakta seputar mimisan,https://www.antaranews.com/berita/5200693/mitos-dan-fakta-seputar-mimisan,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2024/11/28/mimisan-1.jpg"" align=""left"" border=""0"" />Mimisan sering dianggap sebagai tanda kelelahan atau pertanda penyakit serius, padahal tidak selalu begitu. Kondisi ini ...",Antara,2025-10-27T07:32:30,2025-10-29T14:40:21.373631
"Anak sering mimisan? Jangan panik, ini cara mudah mengatasinya",https://www.antaranews.com/berita/5200681/anak-sering-mimisan-jangan-panik-ini-cara-mudah-mengatasinya,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2025/01/06/WhatsApp-Image-2025-01-05-at-4.25.04-PM.jpeg"" align=""left"" border=""0"" />Mimisan pada anak sering kali membuat orang tua panik, apalagi jika darah keluar cukup banyak. Padahal, kondisi ini ...",Antara,2025-10-27T07:28:16,2025-10-29T14:40:22.570567
Berikut 6 tanaman herbal untuk jaga daya tahan tubuh,https://www.antaranews.com/berita/5200633/berikut-6-tanaman-herbal-untuk-jaga-daya-tahan-tubuh,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2021/06/17/IMG-20210617-WA0093.jpg"" align=""left"" border=""0"" />Perubahan cuaca tak menentu yang terjadi dalam beberapa hari terakhir di berbagai wilayah Indonesia ini meningkatkan ...",Antara,2025-10-27T07:07:44,2025-10-29T14:40:23.628602
Benarkah udara kering bisa sebabkan mimisan?,https://www.antaranews.com/berita/5200617/benarkah-udara-kering-bisa-sebabkan-mimisan,['Lifestyle'],"<img src=""https://img.antaranews.com/cache/800x533/2018/07/mimisan.jpg"" align=""left"" border=""0"" />Epistaksis, atau yang lebih dikenal dengan mimisan, merupakan kondisi medis yang terjadi akibat pecahnya pembuluh darah ...",Antara,2025-10-27T07:04:36,2025-10-29T14:40:24.448944
